Global Land and Ocean Temperature Anomalies, February-January
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Year,Value
1881,-0.13
1882,-0.07
1883,-0.11
1884,-0.15
1885,-0.24
1886,-0.20
1887,-0.23
1888,-0.25
1889,-0.13
1890,-0.12
1891,-0.32
1892,-0.24
1893,-0.34
1894,-0.29
1895,-0.28
1896,-0.19
1897,-0.10
1898,-0.10
1899,-0.26
1900,-0.13
1901,-0.06
1902,-0.14
1903,-0.26
1904,-0.37
1905,-0.40
1906,-0.28
1907,-0.23
1908,-0.38
1909,-0.46
1910,-0.41
1911,-0.40
1912,-0.41
1913,-0.34
1914,-0.28
1915,-0.16
1916,-0.07
1917,-0.31
1918,-0.30
1919,-0.21
1920,-0.19
1921,-0.20
1922,-0.17
1923,-0.22
1924,-0.21
1925,-0.25
1926,-0.10
1927,-0.09
1928,-0.14
1929,-0.21
1930,-0.28
1931,-0.07
1932,-0.06
1933,-0.16
1934,-0.25
1935,-0.11
1936,-0.14
1937,-0.11
1938,-0.01
1939,-0.04
1940,-0.01
1941,0.12
1942,0.20
1943,0.12
1944,0.19
1945,0.26
1946,0.17
1947,-0.04
1948,-0.03
1949,-0.05
1950,-0.09
1951,-0.16
1952,0.02
1953,0.02
1954,0.07
1955,-0.09
1956,-0.16
1957,-0.19
1958,0.09
1959,0.10
1960,0.05
1961,0.03
1962,0.08
1963,0.08
1964,0.11
1965,-0.16
1966,-0.07
1967,-0.02
1968,-0.02
1969,-0.02
1970,0.12
1971,0.03
1972,-0.09
1973,0.07
1974,0.13
1975,-0.04
1976,-0.01
1977,-0.07
1978,0.21
1979,0.12
1980,0.24
1981,0.28
1982,0.28
1983,0.22
1984,0.32
1985,0.14
1986,0.15
1987,0.23
1988,0.39
1989,0.35
1990,0.31
1991,0.44
1992,0.41
1993,0.25
1994,0.27
1995,0.36
1996,0.43
1997,0.33
1998,0.53
1999,0.62
2000,0.43
2001,0.43
2002,0.56
2003,0.60
2004,0.60
2005,0.58
2006,0.64
2007,0.65
2008,0.56
2009,0.57
2010,0.64
2011,0.68
2012,0.58
2013,0.64
2014,0.68
2015,0.75
2016,0.93
2017,0.94
2018,0.84
2019,0.80