Position,Position,proper motion,proper motion,,,,
56.66214,24.52011,20.23977,-46.0462,134.91,12.869,13.571,12.058
56.66778,23.49754,16.02289,-46.94145,135.85,11.962,12.597,11.178
56.68172,23.99494,20.50214,-45.33556,137.24,15.068,16.34,13.954
56.69081,25.45825,20.64891,-46.51162,134.72,15.653,17.155,14.454
56.69277,23.17008,-16.64846,-21.06256,196.39,17.408,18.857,16.236
56.69618,22.91438,18.7582,-45.0017,139.12,10.343,10.673,9.844
56.70512,24.59983,19.35216,-44.34839,135.38,14.311,15.418,13.27
56.70622,24.80778,-12.72321,-5.33546,136.14,16.805,18.3,15.609
56.70852,24.49586,20.35131,-23.50134,142.14,15.97,17.348,14.822
56.71927,23.64514,19.34147,-45.10348,137.67,16.497,18.413,15.179
56.72202,22.88075,18.98256,-41.6005,146.69,11.554,12.002,10.946
56.72345,24.28729,19.24908,-47.50404,135.71,14.973,16.493,13.772
56.72892,24.79613,19.30065,-46.34158,135.01,10.408,10.741,9.907
56.73783,21.91665,-10.57402,-71.3019,92.78,14.89,16.247,13.749
56.74398,24.46092,19.3016,-46.1394,133.92,16.011,17.626,14.773
56.74759,24.51991,22.27185,-47.5214,137.53,6.803,6.802,6.767
56.75128,24.47341,19.24125,-44.78725,133.01,16.985,18.276,15.151
56.75424,24.98247,17.91179,-38.40059,162.82,16.414,18.243,15.125
56.75601,23.49474,19.07189,-45.02344,135.38,11.274,11.697,10.691
56.76502,24.15949,19.33333,-44.72484,137.42,13.826,14.762,12.867
56.76583,23.61611,20.78005,-44.24209,138.71,14.265,15.604,13.129
56.76766,23.99501,21.32317,-45.43698,135.1,8.332,8.471,8.06
56.77665,22.33124,-1.94317,-15.28671,141.34,14.878,16,13.83
56.78069,23.22616,19.29519,-45.43851,136.81,13.143,13.889,12.292
56.78836,24.05198,19.44326,-43.83037,136.93,15.381,16.784,14.206
56.7911,23.78255,-15.22773,6.57566,156.78,9.345,9.575,8.863
56.79199,24.27645,19.95946,-44.49804,135.92,9.377,9.618,8.973
56.79571,25.086,63.70585,-46.33156,116.3,15.793,17.224,14.621
56.80648,23.71409,19.73051,-45.60887,134.81,12.216,12.771,11.51
56.80702,23.83129,20.66187,-45.95187,135.31,14.748,16.206,13.568
56.82562,24.23078,18.02322,-46.54777,132.82,17.031,18.529,15.19
56.8307,24.13892,19.01707,-43.92757,137.56,8.244,8.362,8.008
56.83688,25.08657,18.65865,-45.97709,137.81,14.673,15.892,13.578
56.83709,25.52564,19.30359,-45.56853,134.29,9.696,9.988,9.235
56.83746,23.80314,19.09568,-45.51979,136.74,6.998,7.003,6.96
56.83776,24.11607,20.34416,-45.07644,138.89,6.299,6.292,6.283
56.84109,25.89774,20.30233,-45.19012,139.43,14.386,15.504,13.334
56.84148,26.37967,20.67923,-46.72476,132.7,16.477,18.169,15.226
56.84947,23.149,19.44532,-45.54033,136.11,15.89,17.493,14.665
56.8547,24.25462,21.08717,-46.02759,132.46,17.057,18.838,15.783
56.85568,24.04895,18.3618,-45.82811,135.48,15.39,16.735,14.238
56.85797,25.44057,20.0622,-45.20469,138.21,16.655,18.664,15.329
56.8616,23.63388,19.56219,-43.40546,138.83,16.336,18.171,15.043
56.86189,23.67813,21.72388,-45.70969,133.82,7.747,7.812,7.595
56.86723,23.44802,20.03342,-44.3604,139.06,15.723,17.262,14.518
56.86843,26.53476,20.17063,-46.31158,135.64,16.338,18.019,15.084
56.86852,24.6757,19.22354,-47.19616,135.64,16.739,18.452,15.49
56.8724,24.11411,20.93603,-44.53787,136.78,16.843,17.596,15.508
56.87281,24.28813,18.55102,-46.9218,138.31,6.816,6.842,6.74
56.8767,23.95507,93.07522,11.16525,147.77,12.678,13.238,11.968
56.8842,23.30633,20.729,-45.43159,136.24,16.412,18.063,15.171
56.89041,24.684,19.58248,-46.27141,134.73,12.54,13.176,11.774
56.89245,25.71816,20.19879,-46.51248,130.32,16.268,17.919,15.033
56.90428,23.60885,56.30685,-59.33104,192.18,7.406,8.046,6.635
56.90697,24.40625,20.06757,-47.76913,136.19,16.923,18.858,15.617
56.91406,24.45873,19.09158,-45.39827,139.28,16.133,17.846,14.878
56.92144,21.35125,-7.98854,-19.62154,156.98,12.63,13.225,11.897
56.92276,23.97173,20.52466,-45.0322,135.73,13.007,13.721,12.173
56.93198,26.80348,15.61698,-33.67326,184.83,16.636,18.42,15.354
56.93624,22.39796,21.05706,-46.67305,132.42,16.656,18.509,15.369
56.94338,24.05048,20.17273,-46.51395,132.35,14.753,15.965,13.656
56.95059,23.21788,20.05366,-45.84754,134.93,10.946,11.336,10.391
56.96236,24.50502,18.64002,-45.03503,135.95,15.016,16.327,13.887
56.96895,23.94102,19.6846,-46.39381,135.57,9.761,10.036,9.328
56.97037,22.9926,17.45843,-44.84198,139.44,16.177,18.02,14.9
57.0025,23.63158,-40.40868,-49.72384,197.62,16.945,18.504,15.765
57.00713,26.37693,19.46946,-25.35019,183.16,16.756,18.286,15.562
57.01482,22.5102,37.66938,-13.37957,145.3,16.87,18.447,15.646
57.02389,22.63578,19.48222,-45.44551,137.59,16.373,18.101,15.113
57.02435,23.03395,19.29311,-44.99777,136.81,15.134,16.501,13.985
57.02677,24.11421,20.11225,-46.8538,138.55,16.74,18.457,15.468
57.02772,24.00172,19.08037,-44.48205,139.09,16.502,18.197,15.24
57.02858,21.14307,-12.5509,-33.34094,153.04,14.998,16.17,13.922
57.03845,23.97779,18.5019,-46.78461,137.57,16.514,18.152,15.275
57.04583,23.50681,19.70712,-44.53956,136.63,13.712,14.6,12.783
57.05197,26.5836,20.98398,-46.56512,131.88,13.179,13.949,12.313
57.07039,25.21492,18.11105,-45.72447,135.89,9.118,9.297,8.638
57.07052,23.63658,18.29152,-44.75731,139,9.992,10.279,9.539
57.0714,23.89015,17.88604,-45.49538,137.19,10.246,10.56,9.763
57.07348,22.06681,20.28402,-45.30199,131.61,16.483,18.197,15.235
57.07381,25.04764,19.51668,-47.05733,133.35,10.745,11.122,10.203
57.08466,24.91506,20.4813,-44.4491,133.84,16.178,17.279,14.305
57.08683,23.42104,19.69502,-47.11298,130.02,5.428,5.394,5.461
57.09465,23.46175,20.58611,-45.14238,133.17,16.847,18.707,15.553
57.09512,24.81469,20.02593,-47.51494,134.14,15.762,17.255,14.567
57.10859,25.24449,19.74798,-48.32005,133.15,14.486,15.638,13.414
57.10912,24.04818,19.67345,-46.2582,134.79,9.903,10.187,9.453
57.12405,23.96813,19.51302,-44.30201,138.02,17.047,18.866,15.773
57.12901,21.8038,91.08328,-48.51842,117.7,16.055,17.53,14.863
57.15692,22.76911,19.03158,-44.59103,138.27,13.846,14.764,12.828
57.1836,25.10608,18.27763,-45.99954,136.3,16.598,18.312,15.348
57.18419,23.26047,17.13655,-42.40675,133.84,17.389,16.317,15.401
57.18937,23.33871,18.98277,-45.76427,134.27,12.883,13.58,12.075
57.1918,24.16998,19.0457,-45.24693,137.62,16.581,18.256,15.331
57.20261,26.3118,-23.56334,-21.89097,136.8,16.898,18.529,15.666
57.23014,22.84495,10.75259,-28.55311,154.35,16.992,18.789,15.749
57.24295,23.09402,20.627,-46.77768,135.33,15.262,16.628,14.111
57.24571,25.10378,4.31784,-47.58784,153.36,13.38,14.183,12.505
57.25429,22.98021,19.78262,-45.89295,133.7,14.506,15.657,13.44
57.25625,23.08574,6.23524,-19.02081,178.75,16.54,18.11,15.331
57.25982,23.25224,19.731,-44.4282,137.61,11.473,11.915,10.867
57.27476,23.10592,18.89321,-46.58329,134.58,16.075,17.678,14.841
57.277,26.07734,-11.77307,-91.36284,54.3,14.297,15.814,13.098
57.28386,25.48168,-11.13304,-60.07808,162.08,13.427,14.208,12.566
57.29683,24.1365,19.49605,-47.6499,138.1,5.203,5.185,5.218
57.29765,24.24001,19.35533,-45.80423,139.17,16.851,18.581,15.577
57.30049,23.40843,-25.76529,24.17885,195.1,9.358,9.609,8.945
57.30088,23.88659,19.62073,-45.17324,134.81,8.102,8.199,7.902
57.32009,24.01608,21.34909,-45.86314,131.92,16.843,18.255,15.153
57.32542,25.56522,53.27885,-4.83854,190.02,16.274,17.557,15.146
57.34072,24.38075,18.56677,-45.34757,139.09,6.605,6.582,6.615
57.34144,24.91187,20.53574,-45.84534,135.18,16.7,18.416,15.443
57.3571,23.8085,15.47081,-23.31351,103.39,11.316,11.824,10.654
57.36105,22.84835,19.03736,-45.87917,133.87,16.388,18.013,15.145
57.36501,24.40364,19.23342,-44.35962,135.07,16.673,18.446,15.397
57.36986,23.71198,19.93579,-47.4487,131.78,11.177,11.592,10.594
57.38564,23.9283,18.37845,-45.35226,132.83,16.305,17.967,15.061
57.3858,23.41124,20.36122,-45.12416,133.54,16.383,18.209,15.095
57.38645,23.3802,20.34647,-44.30135,138.29,9.035,9.252,8.664
57.38677,25.79621,19.71023,-46.36218,135.67,16.545,18.222,15.296
57.38809,23.7952,19.9237,-43.75212,137.67,10.747,11.107,10.22
57.40917,22.53329,18.21837,-44.56882,137.06,7.004,7.007,6.965
57.41282,21.73936,4.09262,-14.74187,182.8,16.648,18.25,15.418
57.4206,23.34137,18.73308,-45.1335,136.69,8.094,8.184,7.911
57.42625,24.4628,18.67616,-46.77229,132.49,11.9,12.41,11.228
57.42804,24.31857,20.44679,-47.83977,133.87,16.043,17.808,14.758
57.43147,23.71165,17.8685,-45.57244,134,6.159,6.129,6.179
57.4519,22.17997,18.39353,-42.29559,143.42,15.773,17.268,14.575
57.45992,23.70539,19.58671,-44.02362,138.72,11.353,11.779,10.759
57.46593,21.30713,19.91534,-44.12993,138.58,14.509,15.859,13.36
57.47052,21.66353,63.30538,-26.36435,121.2,15.361,16.59,14.254
57.47057,25.64725,18.62331,-45.93795,138.01,9.434,9.706,8.994
57.48126,24.10123,18.95984,-43.54104,136.89,16.615,18.335,15.351
57.48251,24.7419,20.01172,-45.62802,132.78,15.174,16.564,14.013
57.48591,24.34879,19.50537,-44.5996,136.69,7.546,7.566,7.476
57.49199,23.84849,18.37784,-45.87033,135.34,6.806,6.812,6.756
57.49315,23.70921,17.40352,-44.87475,137.51,15.16,16.501,14.014
57.52103,24.84991,8.6893,-8.51526,153.68,15.973,17.802,14.685
57.52683,26.97175,19.55151,-45.63641,133.88,16.918,18.703,15.639
57.53694,23.64494,-16.15548,-44.24575,190.83,17.089,18.464,15.933
57.54083,26.71028,10.69833,-6.1769,179.2,16.106,17.411,14.944
57.54495,24.47803,18.48687,-45.28981,135.12,16.926,18.804,15.633
57.5493,24.296,-10.17794,-15.29052,170.82,12.945,13.561,12.199
57.55195,23.92647,20.69247,-45.65711,134.1,16.259,18.161,14.948
57.57598,24.58747,19.59404,-46.28803,132.52,16.821,18.566,15.562
57.61046,21.88351,38.2113,-25.57161,132.17,13.988,15.165,12.908
57.61403,23.37901,19.83778,-44.8542,138.33,16.542,18.274,15.271
57.63319,22.14638,18.114,-41.36258,143.95,15.981,17.555,14.757
57.63791,24.33921,19.40941,-46.91156,131.16,16.401,18.048,15.161
57.66223,23.21723,18.26491,-45.37655,136.96,15.392,16.795,14.227
57.66706,23.93284,18.70636,-44.35811,137.9,10.162,10.469,9.688
57.67689,24.21524,19.76107,-44.7895,136.34,17.169,18.959,15.898
57.6783,24.63861,10.5754,-18.14844,159.93,16.473,18.029,15.252
57.68573,22.04269,-14.35931,-13.50744,177.07,12.425,12.968,11.733
57.68883,22.05127,50.23163,-32.83012,115.7,16.203,17.753,14.995
57.68912,25.10281,12.99965,-33.25056,191.71,16.726,18.416,15.474
57.71444,23.32887,18.88836,-46.33222,136.35,12.194,12.754,11.491
57.72447,22.54787,17.87339,-45.12252,137.63,12.365,12.959,11.628
57.72977,23.2223,51.69201,-31.46865,186.9,16.647,18.016,15.489
57.74244,23.92836,18.4313,-43.3139,138.65,16.709,18.454,15.451
57.7545,26.67622,13.36153,87.97263,85.48,14.675,15.918,13.571
57.76639,22.40454,19.34209,-45.99645,134.51,13.86,14.819,12.887
57.7756,22.63338,20.88252,-45.90535,133.33,17.126,18.968,15.824
57.81719,25.53791,6.63621,-18.47779,189.28,14.98,16.087,13.938
57.81933,21.05953,19.47869,-44.72892,137.21,16.346,18.021,15.09
57.82594,22.06845,39.06579,-24.7396,166.38,15.936,17.458,14.735
57.82804,26.05415,18.95465,-46.07317,137.47,16.9,18.702,15.61
57.84233,25.16593,19.5989,-45.43409,138.74,13.613,14.502,12.684
57.84955,22.11318,18.72094,-44.617,137.11,12.724,13.393,11.94
57.84964,25.0978,19.06011,-44.90508,137.24,15.382,16.772,14.223
57.85075,26.053,18.73451,-46.2374,132.47,15.41,16.849,14.224
57.85334,25.83771,11.90324,-12.76043,157.69,16.813,18.521,15.56
57.86349,24.51845,19.74663,-45.45129,137.9,8.77,8.963,8.428
57.88545,26.20106,-38.60366,-36.86137,107.99,16.814,18.475,15.562
57.89077,21.53743,-13.38084,-18.75741,174.95,16.4,17.764,15.248
57.89174,24.56899,20.34257,-46.71852,134.75,16.468,18.198,15.213
57.91303,24.59126,19.75572,-44.26557,136.02,16.572,18.297,15.311
57.92638,24.36131,19.79467,-44.48817,136.3,16.631,18.309,15.39
57.94771,25.20176,42.51165,-21.51574,189.82,11.734,12.108,11.188
57.95117,26.40463,-11.51113,-15.49485,198.04,16.951,18.477,15.758
57.956,24.46745,44.0581,-23.63072,137.86,16.672,18.2,15.349
57.95776,26.38488,-33.32021,-50.78274,176.2,17.161,18.835,15.931
57.96087,22.89551,18.24091,-44.87318,136.7,15.906,17.474,14.685
57.96493,21.82121,20.68426,-45.11609,132.96,16.289,17.978,15.031
57.96633,21.82256,20.38633,-45.64282,133.98,15.841,17.418,14.622
57.9758,25.07209,0.58415,-3.89551,171.64,16.911,18.448,15.708
57.97944,23.96154,18.94046,-46.25269,132.93,16.595,18.304,15.33
57.98703,23.90175,20.56903,-45.93443,132.18,9.927,10.219,9.467
57.98901,23.33922,20.84431,-46.4849,133.61,12.713,13.388,11.923
57.98934,25.99867,19.17438,-46.70415,136.3,7.649,7.709,7.506
57.98975,25.80851,20.46862,-48.88478,126.48,16.227,17.926,14.972
57.99723,24.66618,17.57752,-44.62504,137.84,15.811,17.354,14.602
58.009,22.49481,40.34859,-6.61556,169.06,10.885,11.257,10.343
58.01104,25.104,18.40174,-45.28474,134.96,16.869,18.824,15.609
58.015,25.02031,19.58736,-46.49312,136.07,16.957,18.765,15.677
58.03385,22.56207,3.78477,-22.76069,183.3,16.624,18.102,15.431
58.05557,26.14344,18.75034,-46.15503,135.86,15.565,17.046,14.372
58.07318,24.45533,19.24845,-45.3821,134.98,16.536,18.235,15.23
58.08615,24.5653,18.50104,-44.61576,139.27,14.51,15.654,13.442
58.09215,22.2257,31.7324,-16.1995,149.69,15.467,16.826,14.318
58.10252,21.50611,19.8529,-44.94201,134.78,15.2,16.627,14.028
58.1149,26.72036,65.86975,-15.70122,183.49,16.303,17.67,15.15
58.14217,24.21144,86.28557,-47.26577,181.69,15.133,16.125,14.139
58.1707,21.83992,11.4683,-34.08876,186.34,16.582,18.169,15.356
58.18023,24.46611,18.08639,-44.69094,136.43,16.82,18.598,15.555
58.18906,25.27966,19.49497,-45.06547,138.43,13.248,14.024,12.384
58.21556,22.5256,18.99841,-46.56403,134.84,15.773,17.342,14.551
58.24098,22.86578,-11.69478,-85.80213,81.07,16.434,18.153,15.172
58.24652,24.90134,20.66896,-45.2484,137.08,13.737,14.645,12.791
58.25685,22.9799,18.6791,-45.22835,134.76,16.564,18.348,15.292
58.26897,22.80115,19.0367,-45.56095,137.11,13.101,13.85,12.251
58.29067,25.3,7.69138,-36.5449,167.56,13.128,13.872,12.292
58.29241,23.05279,19.73655,-46.53611,136.25,15.396,16.809,14.223
58.29362,21.75483,-15.75513,17.14824,139.76,11.405,11.865,10.783
58.35056,23.7994,20.12537,-44.9148,136.76,16.479,18.201,15.219
58.3983,23.68476,-37.89837,17.79626,168.88,13.747,14.491,12.909
58.45919,26.91344,-3.24913,-11.07181,163.21,16.936,18.561,15.704
58.48498,26.26314,59.0048,-26.4673,159.71,15.971,17.253,14.849
58.49222,24.98018,43.48546,-7.23996,186.22,17.06,18.528,15.866
58.50898,22.77695,-15.1105,-3.28749,152.97,16.701,18.404,15.447
58.54314,22.17024,11.96857,-67.06227,95.87,15.87,17.472,14.641
58.54795,25.31173,19.45662,-45.61156,134.38,16.778,18.585,15.498
58.55429,23.34727,19.43313,-46.78892,131.7,15.46,16.897,14.28
58.55727,23.15793,-26.07178,-66.55422,174.65,17.129,18.579,15.937
58.5617,25.05048,59.14985,-13.18305,133.29,12.862,13.63,12.011
58.57493,26.35177,7.49213,-7.86732,173.16,14.307,15.524,13.21
58.59004,24.07549,19.32827,-45.6525,135.33,9.597,9.863,9.167
58.59373,23.63651,18.36911,-45.97983,135.04,16.473,18.187,15.216
58.61606,21.38954,19.08639,-47.24298,133.52,10.766,11.139,10.224
58.63668,23.49231,6.29543,29.25442,194.26,16.442,17.857,15.281
58.69535,26.65222,13.22428,-77.78259,152.58,17.023,18.517,15.83
58.71911,24.57605,18.67246,-43.91358,138.73,12.604,13.404,11.73
58.79678,23.75675,-23.55388,-10.84792,188.3,12.679,13.219,11.991
58.85348,22.48276,-7.51211,-89.58864,106.07,15.93,15.855,16.093
58.86702,25.70234,54.91356,-41.24654,132.91,12.012,12.555,11.321
58.87095,23.77224,17.75908,-44.95247,137.91,13.494,14.33,12.595
58.874,21.97924,47.5138,-44.30672,105.15,16.117,17.589,14.932
58.88722,24.70301,-11.50614,-6.60712,162.97,15.512,16.754,14.406
58.95157,24.02566,36.26441,-3.78893,171.38,17.141,18.662,15.86
58.98356,23.56706,19.13786,-46.08278,133.56,12.259,12.839,11.536
58.98999,25.24279,-27.20663,-72.69643,163.01,15.421,16.635,14.328
58.99241,24.54977,19.59854,-47.05186,133.3,15.776,16.958,14.446
58.99338,26.44281,-6.08288,-15.79845,191.28,17.27,18.835,16.056
58.99978,26.99977,19.04256,-45.36235,133.49,16.923,18.723,15.652
59.03595,26.77675,-17.07306,-3.03397,168.88,17.236,18.984,15.98
59.04296,22.09829,-22.42278,-16.52386,156.68,16.09,17.581,14.896
59.04336,23.0398,19.15025,-44.76231,135.11,15.267,16.608,14.125
59.09303,21.12119,19.28767,-46.82267,132.52,15.829,17.407,14.609
59.09798,24.83222,17.88486,-43.8423,139.57,13.447,14.267,12.555
59.10418,23.09059,19.73361,-46.2698,134.73,14.358,15.443,13.326
59.10811,24.28079,18.27144,-45.33993,139.18,14.184,15.222,13.17
59.11727,23.15007,18.51543,-45.74471,135.79,8.301,8.426,8.057
59.13866,25.40758,-42.64935,-36.49336,187.94,15.929,17.215,14.808
59.15275,22.47245,72.83515,-45.35225,134.31,13.215,14.033,12.327
59.1645,24.06637,54.73292,-21.7798,177.72,13.722,14.487,12.871
59.18331,24.08567,83.20119,-48.29414,156.46,13.893,14.828,12.934
59.20752,21.84341,5.00291,-40.67091,175.35,11.725,12.174,11.112
59.21519,26.80723,18.48534,-45.38693,137.05,16.363,18,15.102
59.24009,26.50756,-18.51327,-17.73887,188.22,8.366,8.657,7.876
59.27271,24.19987,14.08717,-9.53585,198.22,9.816,10.078,9.392
59.33589,24.53512,-1.13676,-39.11329,187.3,15.982,17.336,14.83
59.38888,24.05299,18.76077,-45.31268,137.28,11.822,12.31,11.175
59.39702,22.98542,18.61231,-45.57924,134.57,15.454,16.93,14.259
59.40038,23.93101,17.88414,-44.06644,139.38,14.006,14.996,13.015
59.40563,22.16531,0.56396,-15.93969,178.35,16.333,17.786,15.156
59.41715,22.18226,3.82812,-49.01492,186.16,14.819,15.942,13.768
59.46656,26.47406,13.05789,-7.0375,190.55,16.289,17.478,15.211
59.48948,21.83412,-11.70859,-6.76397,185.24,17.367,17.978,15.861
59.50853,26.98177,-11.77508,0.16259,177.9,10.56,10.888,10.061
59.57904,21.68987,16.72718,-30.82266,186.87,15.831,17.277,14.651
59.60031,25.85674,47.30586,-53.36257,180.33,16.632,18.198,15.41
59.60727,21.30167,-34.39051,-32.78085,162.84,17.395,18.993,16.19
59.6182,26.21536,25.80138,-40.27714,184.46,16.058,17.222,14.989
59.65331,22.16234,-14.49074,-17.72865,127.07,15.356,16.642,14.232
59.67482,24.16475,29.77011,-9.09769,182.16,15.484,16.735,14.376
59.69113,25.68511,42.31815,-29.25036,118.93,13.615,14.609,12.625
59.72244,25.09815,66.31398,-60.62666,136.51,17.087,18.85,15.821
59.7352,24.3088,19.86911,-46.53,132.22,16.357,17.988,15.006
59.74419,26.4548,-14.12364,-14.53585,143.35,13.82,14.742,12.873
59.76355,26.84952,-17.24373,-73.9802,98.85,12.84,13.696,11.931
59.7643,23.62811,-5.35762,1.88203,188.42,7.071,7.604,6.382
59.77636,25.0554,18.17344,-47.2727,132.09,15.347,16.878,14.147
59.78587,25.459,-23.90157,-15.08696,125.58,14.293,15.325,13.285
59.7971,25.94699,1.27323,-14.33244,188.36,14.297,15.288,13.311
59.79724,23.96858,-34.3692,-82.47401,56.14,17.792,18.022,17.427
59.83824,24.38012,53.1043,-4.50851,136.47,10.504,10.922,9.921
59.84548,22.57117,17.95258,-45.4821,134.04,13.755,14.696,12.791
59.86478,23.12359,19.56575,-44.96977,135.2,12.829,13.534,12.004
59.86563,21.87868,1.24053,-39.01957,160.43,16.92,18.591,15.666
59.94556,23.82076,11.16523,-35.21804,193.84,17.068,18.448,15.294
59.99585,22.7367,3.47284,-64.28512,117.9,15.717,17.256,14.509